time,elapsed_time,compute_time
4791530586,1018,320
4791531599,1013,319
4791532580,981,382
4791533598,1018,344
4791534602,1004,319
4791535541,939,317
4791536734,1193,495
4791537889,1155,596
4791538775,886,551
4791539877,1102,595
4791540670,793,461
4791541909,1239,603
4791543471,1562,1183
4791544213,742,736
4791544803,590,582
4791545837,1034,607
4791546759,922,515
4791547960,1201,587
4791548804,844,587
4791549860,1056,596
4791550729,869,475
4791551612,883,387
4791552617,1005,391
4791553760,1143,478
4791554716,956,403
4791556173,1457,862
4791556633,460,454
4791557520,887,304
4791558508,988,299
4791559638,1130,290
4791560495,857,292
4791561578,1083,289
4791562601,1023,346
4791563652,1051,397
4791564713,1061,490
4791565639,926,384
4791567236,1597,909
4791567718,482,476
4791568561,843,356
4791569666,1105,356
4791570726,1060,399
4791571644,918,356
4791572938,1294,628
4791574164,1226,631
4791574801,637,618
4791575825,1024,559
4791576733,908,548
4791577869,1136,549
4791578828,959,531
4791579757,929,445
4791580779,1022,586
4791581891,1112,648
4791582728,837,414
4791583600,872,387
4791584732,1132,536
4791585751,1019,440
4791586659,908,403
4791587808,1149,552
4791588781,973,562
4791589799,1018,564
4791590514,715,303
4791591480,966,289
4791592556,1076,356
4791593568,1012,362
4791594567,999,363
4791595484,917,280
4791596609,1125,355
4791597647,1038,377
4791598616,969,342
4791599714,1098,408
4791600603,889,296
4791601724,1121,345
4791602485,761,276
4791603795,1310,452
4791604883,1088,645
4791605714,831,396
4791606738,1024,502
4791607601,863,304
4791608623,1022,409
4791609620,997,397
4791610530,910,287
4791611630,1100,390
4791612488,858,294
4791613590,1102,374
4791614618,1028,314
4791615625,1007,413
4791616460,835,270
4791617796,1336,369
4791618563,767,362
4791619497,934,298
4791620660,1163,388
4791621648,988,356
4791622712,1064,361
4791623552,840,296
4791624469,917,273
4791625529,1060,314
4791626568,1039,349
4791627619,1051,356
4791628545,926,331
4791629623,1078,331
4791630590,967,331
4791631612,1022,332
4791632541,929,336
4791633662,1121,370
4791634572,910,369
4791635659,1087,371
4791636769,1110,554
4791637617,848,396
4791638602,985,368
4791639825,1223,609
4791640804,979,574
4791642291,1487,549
4791642835,544,535
4791643885,1050,636
4791644616,731,400
4791645823,1207,606
4791646619,796,367
4791647582,963,367
4791648817,1235,522
4791649866,1049,568
4791650665,799,424
4791651606,941,378
4791653051,1445,769
4791654026,975,786
4791654843,817,575
4791655639,796,420
4791656807,1168,566
4791657994,1187,646
4791658783,789,558
4791659644,861,400
4791660544,900,341
4791661729,1185,502
4791662556,827,341
4791663667,1111,468
4791664757,1090,491
4791665860,1103,505
4791666803,943,509
4791667637,834,400
4791668567,930,353
4791669535,968,340
4791670728,1193,433
4791671577,849,313
4791672746,1169,421
4791673658,912,433
4791674637,979,357
4791675643,1006,373
4791676751,1108,438
4791677576,825,357
4791678559,983,362
4791679512,953,279
4791680481,969,270
4791681479,998,270
4791682482,1003,270
4791683491,1009,271
4791684481,990,263
4791685503,1022,270
4791686491,988,271
4791687507,1016,279
4791688776,1269,539
4791689861,1085,598
4791690901,1040,651
4791691940,1039,692
4791692731,791,456
4791693796,1065,502
4791694881,1085,580
4791695806,925,488
4791696797,991,580
4791697771,974,413
4791698523,752,300
4791699522,999,297
4791700511,989,297
4791701521,1010,298
4791702485,964,297
4791703509,1024,296
4791704718,1209,421
4791705800,1082,505
4791706878,1078,559
4791707800,922,488
4791708788,988,491
4791709627,839,404
4791710725,1098,484
4791711844,1119,562
4791712653,809,385
4791713604,951,384
4791714600,996,383
4791715600,1000,382
4791716609,1009,383
4791717660,1051,446
4791718606,946,385
4791719601,995,383
4791720707,1106,492
4791721676,969,459
4791723054,1378,699
4791723743,689,491
4791724748,1005,483
4791725717,969,484
4791726740,1023,481
4791727793,1053,570
4791728787,994,563
4791729785,998,561
4791730914,1129,584
4791731894,980,564
4791732799,905,592
4791733773,974,563
4791734787,1014,562
4791735929,1142,712
4791736863,934,625
4791737917,1054,563
4791738793,876,560
4791739858,1065,597
4791740899,1041,637
4791741809,910,595
4791742813,1004,602
4791743804,991,597
4791744824,1020,565
4791745785,961,562
4791746864,1079,585
4791747843,979,586
4791748796,953,589
4791749732,936,514
4791750717,985,513
4791751719,1002,502
4791752723,1004,501
4791753720,997,502
4791754712,992,502
4791755892,1180,692
4791756884,992,592
4791758125,1241,709
4791758807,682,542
4791759755,948,541
4791760732,977,530
4791761745,1013,529
4791762752,1007,528
4791763747,995,529
4791764889,1142,561
4791765881,992,624
4791766849,968,547
4791767909,1060,532
4791768736,827,530
4791769773,1037,553
4791770762,989,545
4791771899,1137,683
4791772757,858,538
4791774237,1480,789
4791774870,633,624
4791775969,1099,706
4791776938,969,693
4791777730,792,514
4791778726,996,525
4791779945,1219,698
4791780761,816,514
4791781771,1010,520
4791782661,890,422
4791783642,981,417
4791784611,969,417
4791785639,1028,418
4791786644,1005,417
4791787633,989,418
4791788850,1217,531
4791789980,1130,631
4791790817,837,515
4791791745,928,514
4791792765,1020,513
4791793750,985,513
4791794827,1077,515
4791795786,959,495
4791796849,1063,538
4791797615,766,388
4791798779,1164,489
4791799624,845,384
4791800621,997,384
4791802004,1383,713
4791802613,609,354
4791803570,957,353
4791804905,1335,586
4791805599,694,365
4791806851,1252,547
4791807774,923,532
4791808825,1051,506
4791809874,1049,529
4791810860,986,489
4791811713,853,397
4791812783,1070,489
4791813857,1074,535
4791814871,1014,557
4791815730,859,488
4791816855,1125,581
4791817729,874,470
4791819843,2114,386
4791820615,772,289
4791821518,903,301
4791822522,1004,313
4791823487,965,286
4791824669,1182,415
4791825575,906,341
4791827301,1726,1078
4791827700,399,393
4791828787,1087,557
4791829592,805,288
4791830487,895,271
4791831505,1018,279
4791832457,952,270
4791833482,1025,270
4791834483,1001,271
4791835479,996,292
4791836502,1023,310
4791837532,1030,329
4791838776,1244,491
4791839579,803,350
4791840554,975,329
4791841541,987,328
4791842625,1084,425
4791843882,1257,601
4791844719,837,483
4791845654,935,371
4791846607,953,380
4791847589,982,367
4791848828,1239,495
4791849795,967,490
4791850763,968,495
4791852134,1371,762
4791852741,607,418
4791853818,1077,492
4791854787,969,489
4791855963,1176,665
4791856960,997,711
4791858238,1278,673
4791858964,726,711
4791860080,1116,809
4791860917,837,669
4791861929,1012,621
4791863257,1328,954
4791863776,519,512
4791864851,1075,544
4791866089,1238,536
4791866815,726,556
4791868202,1387,724
4791868732,530,523
4791869857,1125,517
4791870812,955,512
4791871825,1013,514
4791872883,1058,532
4791873833,950,584
4791874764,931,506
4791875832,1068,523
4791876964,1132,608
4791877777,813,530
4791878999,1222,711
4791879892,893,582
4791880724,832,511
4791881812,1088,531
4791882747,935,496
4791883688,941,402
4791884696,1008,403
4791885701,1005,402
4791886692,991,403
4791887685,993,460
4791888883,1198,508
4791889857,974,611
4791890857,1000,519
4791891763,906,521
4791892747,984,440
4791893854,1107,466
4791894677,823,439
4791895766,1089,422
4791896836,1070,479
4791897748,912,430
4791898719,971,459
4791899758,1039,422
4791900716,958,420
4791901719,1003,421
4791902801,1082,502
4791904263,1462,959
4791904785,522,512
4791905907,1122,646
4791906772,865,542
4791907699,927,461
4791908671,972,463
4791909906,1235,593
4791910726,820,421
4791911897,1171,606
4791912734,837,421
4791913780,1046,557
4791914740,960,500
4791915735,995,420
4791916749,1014,441
4791917736,987,442
4791919198,1462,892
4791919680,482,476
4791920772,1092,540
4791921722,950,441
4791922834,1112,595
4791923794,960,555
4791924719,925,488
4791925864,1145,566
4791926895,1031,463
4791927629,734,402
4791929056,1427,757
4791929612,556,401
4791930827,1215,523
4791931679,852,459
