time,elapsed_time,compute_time
4108514724,1253,1245
4108516072,1348,1264
4108517323,1251,1246
4108518572,1249,1245
4108519821,1249,1245
4108521080,1259,1255
4108522330,1250,1245
4108523579,1249,1245
4108524930,1351,1348
4108526183,1253,1246
4108527190,1007,1003
4108528173,983,979
4108529149,976,972
4108530132,983,973
4108531108,976,972
4108532088,980,977
4108533064,976,973
4108534042,978,974
4108535020,978,973
4108535993,973,970
4108537010,1017,978
4108537988,978,970
4108538984,996,971
4108539982,998,970
4108541007,1025,975
4108541982,975,970
4108542981,999,970
4108543980,999,970
4108544994,1014,970
4108545982,988,971
4108546981,999,970
4108547981,1000,971
4108548989,1008,970
4108549983,994,970
4108550982,999,970
4108551982,1000,971
4108552983,1001,970
4108553982,999,970
4108554982,1000,970
4108555981,999,970
4108556983,1002,970
4108557982,999,970
4108558982,1000,970
4108559982,1000,971
4108560983,1001,970
4108561982,999,970
4108562982,1000,970
4108563982,1000,971
4108564982,1000,970
4108565983,1001,971
4108566982,999,970
4108567982,1000,971
4108568983,1001,970
4108569982,999,970
4108570983,1001,971
4108571979,996,970
4108572984,1005,970
4108573983,999,971
4108574982,999,970
4108575982,1000,971
4108576983,1001,970
4108577982,999,970
4108578983,1001,971
4108579982,999,970
4108580982,1000,970
4108581982,1000,970
4108582990,1008,970
4108583983,993,971
4108584988,1005,970
4108585982,994,970
4108586982,1000,970
4108587981,999,970
4108588983,1002,970
4108589982,999,970
4108590982,1000,970
4108591983,1001,971
4108592983,1000,970
4108593983,1000,971
4108594982,999,970
4108595982,1000,970
4108596982,1000,970
4108597982,1000,970
4108598982,1000,970
4108599981,999,970
4108600983,1002,970
4108601982,999,970
4108602982,1000,970
4108603982,1000,970
4108604983,1001,971
4108605982,999,970
4108606982,1000,970
4108607981,999,970
4108608983,1002,970
4108609983,1000,971
4108610982,999,970
4108611982,1000,971
4108612983,1001,970
4108613982,999,970
4108614987,1005,970
4108615982,995,970
4108616983,1001,970
4108617982,999,970
4108618982,1000,970
4108619981,999,970
4108620983,1002,971
4108621982,999,970
4108622983,1001,971
4108623981,998,970
4108624983,1002,971
4108625982,999,970
4108626982,1000,970
4108627981,999,970
4108628983,1002,970
4108629983,1000,971
4108630982,999,970
4108631981,999,970
4108632983,1002,970
4108633983,1000,971
4108634982,999,970
4108635981,999,970
4108636983,1002,970
4108637982,999,970
4108638982,1000,970
4108639982,1000,971
4108640983,1001,970
4108641982,999,970
4108642983,1001,971
4108643982,999,970
4108644983,1001,970
4108645982,999,970
4108646982,1000,970
4108647981,999,970
4108648982,1001,970
4108649987,1005,971
4108650982,995,970
4108651982,1000,970
4108652983,1001,970
4108653982,999,970
4108654982,1000,970
4108655982,1000,970
4108656983,1001,970
4108657984,1001,971
4108658982,998,970
4108659982,1000,970
4108660983,1001,970
4108661982,999,970
4108662982,1000,970
4108663983,1001,971
4108664983,1000,970
4108665981,998,970
4108666997,1016,972
4108667986,989,971
4108669010,1024,977
4108669985,975,970
4108670983,998,970
4108671982,999,970
4108672983,1001,970
4108673982,999,970
4108674982,1000,970
4108675982,1000,970
4108676982,1000,970
4108677982,1000,970
4108678982,1000,970
4108679982,1000,970
4108680982,1000,970
4108681982,1000,970
4108682982,1000,970
4108683982,1000,970
4108684991,1009,971
4108685996,1005,972
4108686985,989,970
4108687982,997,970
4108688985,1003,970
4108689982,997,970
4108690982,1000,970
4108691983,1001,971
4108692983,1000,970
4108693983,1000,970
4108694982,999,970
4108695982,1000,970
4108696983,1001,970
4108697982,999,970
4108698982,1000,970
4108699983,1001,970
4108700982,999,970
4108701982,1000,970
4108702982,1000,970
4108703982,1000,970
4108704983,1001,971
4108705982,999,970
4108706982,1000,970
4108707983,1001,971
4108708983,1000,970
4108709983,1000,971
4108710982,999,970
4108711982,1000,970
4108712984,1002,971
4108713982,998,970
4108714982,1000,970
4108715982,1000,970
4108716983,1001,970
4108717982,999,970
4108718982,1000,970
4108719982,1000,970
4108720982,1000,970
4108721982,1000,970
4108722982,1000,970
4108723982,1000,970
4108724982,1000,970
4108725982,1000,970
4108726982,1000,970
4108727983,1001,971
4108728982,999,970
4108729982,1000,970
4108730982,1000,970
4108731982,1000,970
4108732983,1001,970
4108733982,999,970
4108734982,1000,970
4108735983,1001,971
4108736983,1000,970
4108737983,1000,971
4108738982,999,970
4108739982,1000,970
4108740984,1002,971
4108741981,997,970
4108742982,1001,971
4108743980,998,970
4108744994,1014,971
4108745983,989,970
4108746982,999,970
4108747982,1000,970
4108748982,1000,970
4108749982,1000,970
4108750982,1000,970
4108751982,1000,970
4108752983,1001,970
4108753982,999,970
4108754982,1000,970
4108755981,999,970
4108756984,1003,971
4108757982,998,970
4108758983,1001,971
4108759982,999,970
4108760983,1001,970
4108761982,999,970
4108762982,1000,970
4108763982,1000,970
4108764982,1000,970
4108765982,1000,970
4108766982,1000,970
4108767982,1000,970
4108768983,1001,970
4108769982,999,970
4108770982,1000,970
4108771982,1000,970
4108772984,1002,971
4108773982,998,970
4108774982,1000,970
4108775982,1000,970
4108776983,1001,970
4108777982,999,970
4108778982,1000,970
4108779983,1001,971
4108780983,1000,970
4108781982,999,970
4108782982,1000,970
4108783983,1001,971
4108784983,1000,970
4108785983,1000,970
4108786983,1000,971
4108787982,999,970
4108788984,1002,971
4108789982,998,970
4108790983,1001,971
4108791982,999,970
4108792983,1001,970
4108793982,999,970
4108794982,1000,970
4108795982,1000,970
4108796983,1001,970
4108797982,999,970
4108798982,1000,970
4108799982,1000,970
4108800983,1001,970
4108801982,999,970
4108802982,1000,970
4108803982,1000,970
4108804983,1001,970
4108805982,999,970
4108806983,1001,971
4108807982,999,970
4108808983,1001,970
4108809982,999,970
4108810982,1000,970
4108811982,1000,970
4108812983,1001,970
4108813983,1000,971
4108814982,999,970
