time,elapsed_time,compute_time
4253015582,977,973
4253016636,1054,997
4253017618,982,976
4253018597,979,973
4253019573,976,973
4253020588,1015,1011
4253021569,981,973
4253022542,973,970
4253029001,6459,977
4253029979,978,973
4253030955,976,973
4253031931,976,973
4253032919,988,985
4253033909,990,973
4253034885,976,972
4253035862,977,974
4253036852,990,985
4253037828,976,970
4253038803,975,970
4253039776,973,970
4253040759,983,980
4253041735,976,970
4253042708,973,970
4253043683,975,972
4253052678,8995,8991
4253053661,983,972
4253054635,974,970
4253055609,974,970
4253056589,980,977
4253057563,974,970
4253058534,971,968
4253064982,6448,972
4253065956,974,970
4253066930,974,970
4253067903,973,970
4253068883,980,977
4253069857,974,970
4253070831,974,970
4253071804,973,970
4253072783,979,975
4253073756,973,970
4253074730,974,970
4253075703,973,970
4253076683,980,976
4253077656,973,970
4253078630,974,970
4253079603,973,970
4253084582,4979,4977
4253085555,973,968
4253088998,3443,976
4253089978,980,971
4253090954,976,972
4253091932,978,974
4253092922,990,986
4253093904,982,974
4253094901,997,973
4253095875,974,970
4253096857,982,979
4253097831,974,970
4253098804,973,970
4253099777,973,970
4253100756,979,976
4253101733,977,973
4253102708,975,973
4253103684,976,973
4253112667,8983,8980
4253113652,985,975
4253114628,976,973
4253115604,976,973
4253116585,981,978
4253117559,974,970
4253118535,976,970
4253124985,6450,974
4253125962,977,972
4253126939,977,973
4253127915,976,972
4253128906,991,989
4253129884,978,973
4253130860,976,972
4253131837,977,973
4253132818,981,978
4253133794,976,973
4253134770,976,972
4253135746,976,972
4253136727,981,978
4253137703,976,972
4253138679,976,973
4253139655,976,973
4253140637,982,979
4253141613,976,972
4253142588,975,972
4253143564,976,972
4253148550,4986,4984
4253149530,980,975
4253150507,977,973
4253151483,976,973
4253152465,982,979
4253153442,977,973
4253154436,994,973
4253155413,977,973
4253156394,981,978
4253157370,976,973
4253158346,976,973
4253159322,976,972
4253160303,981,978
4253161279,976,973
4253162255,976,972
4253163231,976,973
4253168217,4986,4983
4253169195,978,974
4253170171,976,973
4253171147,976,973
4253172129,982,978
4253173105,976,973
4253174081,976,972
4253175057,976,972
4253176037,980,978
4253177014,977,973
4253177990,976,973
4253178965,975,972
4253179941,976,973
4253180921,980,978
4253181898,977,973
4253182874,976,973
4253183850,976,972
4253188836,4986,4983
4253189814,978,974
4253190790,976,973
4253191766,976,973
4253192747,981,977
4253193723,976,973
4253194699,976,972
4253195675,976,973
4253196656,981,978
4253197632,976,972
4253198607,975,973
4253199583,976,973
4253200564,981,978
4253201537,973,970
4253204985,3448,974
4253205961,976,973
4253206944,983,973
4253207920,976,972
4253208899,979,977
4253209875,976,973
4253210851,976,972
4253211827,976,972
4253212807,980,978
4253213783,976,973
4253214759,976,973
4253215735,976,973
4253216715,980,977
4253217692,977,973
4253218667,975,973
4253219643,976,972
4253224623,4980,4977
4253225601,978,974
4253226577,976,973
4253227550,973,970
4253232983,5433,974
4253233960,977,973
4253234936,976,973
4253235912,976,972
4253236894,982,979
4253237870,976,973
4253238846,976,973
4253239822,976,973
4253240804,982,979
4253241780,976,973
4253242756,976,972
4253243732,976,973
4253244713,981,978
4253245690,977,972
4253246666,976,973
4253247642,976,973
4253248623,981,978
4253249599,976,973
4253250575,976,973
4253251548,973,970
4253256987,5439,975
4253257964,977,973
4253258940,976,973
4253259915,975,972
4253260907,992,980
4253261883,976,972
4253262859,976,972
4253263835,976,972
4253264815,980,977
4253265791,976,973
4253266767,976,973
4253267743,976,973
4253268723,980,978
4253269699,976,973
4253270675,976,972
4253271651,976,973
4253276634,4983,4980
4253277612,978,974
4253278588,976,973
4253279564,976,972
4253280543,979,976
4253281541,998,970
4253282540,999,970
4253283540,1000,970
4253284546,1006,977
4253285540,994,971
4253286539,999,970
4253287540,1001,970
