time,elapsed_time,compute_time
4155722238,977,971
4155723277,1039,973
4155724262,985,982
4155725237,975,971
4155726208,971,968
4155727193,985,968
4155728224,1031,1002
4155729197,973,968
4155730191,994,968
4155731190,999,968
4155732200,1010,978
4155733191,991,968
4155734197,1006,969
4155735196,999,968
4155736251,1055,1025
4155737228,977,971
4155738200,972,968
4155739195,995,968
4155740220,1025,989
4155741195,975,968
4155742199,1004,970
4155743192,993,968
4155744223,1031,990
4155745198,975,968
4155746197,999,968
4155747192,995,968
4155748203,1011,981
4155749192,989,968
4155750191,999,968
4155751191,1000,968
4155752199,1008,976
4155753192,993,968
4155754192,1000,968
4155755191,999,968
4155756199,1008,976
4155757192,993,968
4155758191,999,968
4155759191,1000,968
4155760200,1009,977
4155761192,992,968
4155762191,999,968
4155763192,1001,968
4155764199,1007,976
4155765191,992,968
4155766191,1000,968
4155767197,1006,968
4155768200,1003,976
4155769192,992,968
4155770192,1000,968
4155771192,1000,968
4155772199,1007,976
4155773192,993,968
4155774192,1000,968
4155775192,1000,968
4155776197,1005,974
4155777188,991,966
4155778190,1002,966
4155779189,999,966
4155780197,1008,974
4155781190,993,966
4155782189,999,966
4155783189,1000,966
4155784196,1007,973
4155785190,994,966
4155786189,999,966
4155787189,1000,966
4155788197,1008,974
4155789190,993,966
4155790189,999,966
4155791189,1000,966
4155792197,1008,974
4155793190,993,966
4155794189,999,966
4155795189,1000,966
4155796196,1007,973
4155797190,994,966
4155798190,1000,966
4155799200,1010,967
4155800204,1004,979
4155801193,989,966
4155802189,996,966
4155803189,1000,966
4155804227,1038,1004
4155805201,974,966
4155806191,990,966
4155807190,999,966
4155808198,1008,974
4155809190,992,966
4155810189,999,966
4155811189,1000,966
4155812197,1008,974
4155813190,993,966
4155814189,999,966
4155815189,1000,966
4155816196,1007,973
4155817190,994,966
4155818189,999,966
4155819189,1000,966
4155820197,1008,973
4155821189,992,966
4155822189,1000,966
4155823189,1000,966
4155824197,1008,973
4155825189,992,966
4155826189,1000,966
4155827189,1000,966
4155828196,1007,973
4155829189,993,966
4155830189,1000,966
4155831189,1000,966
4155832196,1007,973
4155833190,994,966
4155834189,999,966
4155835189,1000,966
4155836206,1017,983
4155837191,985,966
4155838189,998,966
4155839189,1000,966
4155840197,1008,974
4155841190,993,966
4155842189,999,966
4155843189,1000,966
4155844198,1009,975
4155845190,992,966
4155846189,999,966
4155847189,1000,966
4155848195,1006,972
4155849190,995,966
4155850189,999,966
4155851189,1000,966
4155852197,1008,974
4155853189,992,966
4155854189,1000,966
4155855189,1000,966
4155856196,1007,973
4155857190,994,966
4155858189,999,966
4155859189,1000,966
4155860196,1007,973
4155861189,993,966
4155862189,1000,966
4155863190,1001,966
4155864197,1007,974
4155865189,992,966
4155866189,1000,966
4155867189,1000,966
4155868197,1008,973
4155869190,993,966
4155870189,999,966
4155871189,1000,966
4155872196,1007,973
4155873190,994,966
4155874189,999,966
4155875189,1000,966
4155876196,1007,973
4155877190,994,966
4155878189,999,966
4155879189,1000,966
4155880197,1008,973
4155881190,993,966
4155882189,999,966
4155883189,1000,966
4155884197,1008,973
4155885189,992,966
4155886189,1000,966
4155887189,1000,966
4155888197,1008,973
4155889190,993,966
4155890189,999,966
4155891189,1000,966
4155892196,1007,973
4155893190,994,966
4155894189,999,966
4155895189,1000,966
4155896196,1007,973
4155897190,994,966
4155898189,999,966
4155899189,1000,966
4155900196,1007,973
4155901189,993,966
4155902189,1000,966
4155903189,1000,966
4155904197,1008,974
4155905190,993,966
4155906189,999,966
4155907189,1000,966
4155908197,1008,974
4155909190,993,966
4155910189,999,966
4155911189,1000,966
4155912196,1007,973
4155913190,994,966
4155914189,999,966
4155915189,1000,966
4155916196,1007,973
4155917190,994,966
4155918189,999,966
4155919189,1000,966
4155920196,1007,973
4155921190,994,966
4155922189,999,966
4155923189,1000,966
4155924196,1007,973
4155925189,993,966
4155926189,1000,966
4155927189,1000,966
4155928196,1007,973
4155929189,993,966
