time,elapsed_time,compute_time
3789646910,2567,1974
3789648916,2006,1952
3789650892,1976,1966
3789652882,1990,1953
3789654862,1980,2264
3789657161,2299,2951
3789660147,2986,2931
3789663110,2963,2953
3789666099,2989,2953
3789669088,2989,2970
3789672095,3007,2925
3789675056,2961,2944
3789678038,2982,2946
3789681021,2983,2926
3789683982,2961,2946
3789686964,2982,2947
3789689948,2984,2951
3789692935,2987,2931
3789695900,2965,2953
3789698891,2991,2953
3789701878,2987,2953
3789704867,2989,2923
3789707824,2957,2944
3789710805,2981,2949
3789713795,2990,2764
3789716589,2794,2504
3789719121,2532,2524
3789721674,2553,2521
3789724225,2551,2512
3789726768,2543,2529
3789729328,2560,2507
3789731865,2537,2528
3789734425,2560,2529
3789736985,2560,2511
3789739524,2539,2523
3789742081,2557,2394
3789744501,2420,2193
3789746719,2218,2208
3789748952,2233,2194
3789751172,2220,2243
3789753559,2387,2203
3789755803,2244,1002
3789756834,1031,978
3789757823,989,974
3789758808,985,973
3789759792,984,989
3789760794,1002,973
3789761777,983,974
3789762762,985,973
3789763751,989,982
3789764745,994,1393
3789766156,1411,1756
3789767931,1775,1766
3789769718,1787,1754
3789771491,1773,1765
3789773278,1787,1751
3789775052,1774,1734
3789776805,1753,1594
3789778417,1612,1604
3789780039,1622,1595
3789781652,1613,1596
3789783266,1614,1611
3789784895,1629,1598
3789786514,1619,1586
3789788118,1604,1463
3789789597,1479,1459
3789791073,1476,1472
3789792562,1489,1460
3789794038,1476,1454
3789795509,1471,1462
3789796989,1480,1453
3789798461,1472,1447
3789799922,1461,1351
3789801289,1367,1340
3789802643,1354,1340
3789803997,1354,1351
3789805364,1367,1339
3789806719,1355,1352
3789808086,1367,1342
3789809444,1358,1340
3789810801,1357,1355
3789812176,1375,1342
3789813533,1357,1246
3789814793,1260,1254
3789816062,1269,1246
3789817322,1260,1244
3789818580,1258,1244
3789819838,1258,1255
3789821108,1270,1249
3789822372,1264,1247
3789823633,1261,1274
3789824922,1289,1197
3789826133,1211,1165
3789827311,1178,1173
3789828497,1186,1164
3789829674,1177,1164
3789830850,1176,1173
3789832037,1187,1164
3789833214,1177,1166
3789834394,1180,1164
3789835571,1177,1174
3789836759,1188,1164
3789837938,1179,1164
3789839115,1177,1183
3789840311,1196,1091
3789841415,1104,1091
3789842518,1103,1091
3789843621,1103,1099
