time,elapsed_time,compute_time
4697819486,980,97
4697820485,999,97
4697821484,999,97
4697822485,1001,96
4697823486,1001,97
4697824484,998,97
4697825485,1001,96
4697826485,1000,96
4697827485,1000,96
4697828484,999,96
4697829485,1001,97
4697830485,1000,96
4697831485,1000,96
4697832485,1000,96
4697833485,1000,96
4697834485,1000,96
4697835485,1000,96
4697836486,1001,96
4697837485,999,96
4697838485,1000,96
4697839484,999,96
4697840484,1000,96
4697841484,1000,97
4697842488,1004,97
4697843487,999,96
4697844485,998,96
4697845487,1002,96
4697846487,1000,96
4697847487,1000,96
4697848485,998,96
4697849487,1002,96
4697850487,1000,96
4697851488,1001,96
4697852486,998,96
4697853487,1001,96
4697854487,1000,96
4697855487,1000,96
4697856486,999,96
4697857487,1001,96
4697858487,1000,96
4697859486,999,96
4697860485,999,96
4697861486,1001,96
4697862487,1001,96
4697863487,1000,96
4697864485,998,96
4697865487,1002,96
4697866487,1000,96
4697867487,1000,96
4697868488,1001,97
4697869488,1000,96
4697870487,999,96
4697871487,1000,96
4697872487,1000,96
4697873487,1000,96
4697874487,1000,96
4697875487,1000,96
4697876487,1000,97
4697877487,1000,96
4697878487,1000,96
4697879486,999,96
4697880485,999,96
4697881486,1001,96
4697882487,1001,96
4697883487,1000,97
4697884486,999,96
4697885487,1001,97
4697886487,1000,96
4697887487,1000,96
4697888485,998,96
4697889487,1002,96
4697890487,1000,96
4697891487,1000,96
4697892486,999,96
4697893589,1103,98
4697894489,900,97
4697895488,999,96
4697896487,999,97
4697897487,1000,96
4697898487,1000,96
4697899486,999,96
4697900485,999,97
4697901484,999,96
4697902487,1003,96
4697903488,1001,96
4697904486,998,96
4697905485,999,96
4697906487,1002,96
4697907487,1000,96
4697908486,999,97
4697909487,1001,96
4697910487,1000,96
4697911488,1001,96
4697912486,998,96
4697913485,999,96
4697914487,1002,96
4697915487,1000,96
4697916488,1001,97
4697917487,999,96
4697918486,999,96
4697919486,1000,96
4697920485,999,97
4697921487,1002,96
4697922487,1000,96
4697923487,1000,96
4697924485,998,96
4697925487,1002,96
4697926487,1000,96
4697927487,1000,96
4697928485,998,96
4697929487,1002,96
4697930487,1000,96
4697931487,1000,96
4697932487,1000,96
4697933493,1006,97
4697934487,994,96
4697935488,1001,96
4697936488,1000,96
4697937485,997,96
4697938487,1002,96
4697939486,999,96
4697940494,1008,99
4697941486,992,96
4697942488,1002,96
4697943488,1000,96
4697944487,999,97
4697945488,1001,96
4697946487,999,97
4697947488,1001,96
4697948485,997,96
4697949487,1002,96
4697950487,1000,96
4697951487,1000,96
4697952487,1000,96
4697953487,1000,96
4697954487,1000,96
4697955487,1000,96
4697956486,999,96
4697957487,1001,96
4697958486,999,96
4697959486,1000,96
4697960485,999,96
4697961487,1002,96
4697962487,1000,96
4697963487,1000,96
4697964486,999,96
4697965487,1001,96
4697966487,1000,96
4697967487,1000,96
4697968485,998,96
4697969485,1000,96
4697970485,1000,96
4697971485,1000,96
4697972485,1000,96
4697973487,1002,96
4697974485,998,96
4697975504,1019,100
4697976485,981,96
4697977485,1000,96
4697978484,999,96
4697979485,1001,96
4697980484,999,96
4697981485,1001,96
4697982485,1000,96
4697983485,1000,96
4697984484,999,96
4697985485,1001,96
4697986485,1000,96
4697987485,1000,96
4697988484,999,96
4697989485,1001,96
4697990485,1000,96
4697991485,1000,96
4697992485,1000,96
4697993485,1000,96
4697994485,1000,96
4697995485,1000,96
4697996485,1000,96
4697997485,1000,96
4697998484,999,96
4697999484,1000,96
4698000484,1000,97
4698001485,1001,96
4698002485,1000,96
4698003485,1000,96
4698004484,999,96
4698005485,1001,96
4698006485,1000,96
4698007485,1000,96
4698008484,999,96
4698009485,1001,96
4698010485,1000,96
4698011485,1000,96
4698012485,1000,96
4698013485,1000,96
4698014485,1000,96
4698015485,1000,96
4698016485,1000,96
4698017485,1000,96
4698018485,1000,96
4698019484,999,96
4698020485,1001,96
4698021484,999,96
4698022485,1001,96
4698023485,1000,97
4698024484,999,96
4698025485,1001,96
4698026485,1000,96
4698027485,1000,96
4698028484,999,96
4698029485,1001,96
4698030485,1000,96
4698031485,1000,96
4698032485,1000,96
4698033485,1000,96
4698034485,1000,96
4698035485,1000,96
4698036485,1000,96
4698037485,1000,96
4698038485,1000,96
4698039484,999,96
4698040484,1000,96
4698041484,1000,96
4698042485,1001,96
4698043485,1000,96
4698044484,999,96
4698045485,1001,96
4698046485,1000,96
4698047485,1000,96
4698048484,999,96
4698049485,1001,96
4698050485,1000,96
4698051485,1000,96
4698052485,1000,96
4698053485,1000,96
4698054485,1000,96
4698055485,1000,96
4698056485,1000,96
4698057485,1000,96
4698058485,1000,96
4698059484,999,96
4698060484,1000,96
4698061484,1000,96
4698062485,1001,96
4698063485,1000,96
4698064484,999,97
4698065485,1001,96
4698066485,1000,96
4698067485,1000,96
4698068487,1002,97
4698069486,999,96
4698070485,999,96
4698071485,1000,96
4698072485,1000,96
4698073485,1000,96
4698074485,1000,96
4698075485,1000,96
4698076485,1000,96
4698077485,1000,96
4698078485,1000,96
4698079485,1000,96
4698080485,1000,97
4698081484,999,96
4698082484,1000,96
4698083485,1001,96
4698084484,999,96
4698085485,1001,96
4698086485,1000,96
4698087485,1000,96
4698088484,999,96
4698089485,1001,96
4698090485,1000,96
4698091485,1000,96
4698092485,1000,96
4698093485,1000,96
4698094493,1008,97
4698095486,993,96
4698096485,999,96
4698097485,1000,96
4698098485,1000,96
4698099485,1000,96
4698100484,999,96
4698101486,1002,97
4698102484,998,97
4698103485,1001,96
4698104484,999,96
4698105485,1001,96
4698106485,1000,96
4698107485,1000,96
4698108484,999,96
4698109485,1001,96
4698110485,1000,96
4698111485,1000,96
4698112485,1000,96
4698113485,1000,96
4698114485,1000,96
4698115485,1000,96
4698116485,1000,96
4698117485,1000,96
4698118485,1000,96
4698119485,1000,96
4698120484,999,96
4698121484,1000,96
4698122484,1000,96
4698123485,1001,96
4698124484,999,96
4698125485,1001,96
4698126485,1000,96
4698127485,1000,96
4698128484,999,96
4698129485,1001,96
4698130485,1000,96
4698131485,1000,96
4698132485,1000,96
4698133485,1000,96
4698134485,1000,96
4698135485,1000,96
4698136485,1000,96
4698137485,1000,96
4698138490,1005,97
4698139485,995,97
4698140485,1000,97
4698141484,999,96
4698142484,1000,96
4698143485,1001,96
4698144484,999,96
4698145485,1001,96
4698146485,1000,96
4698147485,1000,96
4698148484,999,96
4698149485,1001,96
4698150485,1000,96
4698151485,1000,96
4698152485,1000,96
4698153485,1000,96
4698154485,1000,96
4698155485,1000,96
4698156485,1000,96
4698157485,1000,96
4698158485,1000,96
4698159485,1000,96
4698160484,999,97
4698161484,1000,96
4698162484,1000,96
4698163485,1001,96
4698164484,999,96
4698165485,1001,96
4698166485,1000,96
4698167485,1000,96
4698168484,999,96
4698169485,1001,96
4698170485,1000,96
4698171485,1000,96
4698172485,1000,97
4698174253,1768,101
4698174495,242,96
4698175487,992,97
4698176485,998,96
4698177485,1000,96
4698178485,1000,97
4698179485,1000,97
4698180484,999,96
4698181486,1002,97
4698182485,999,97
4698183485,1000,96
4698184484,999,96
4698185485,1001,96
4698186485,1000,96
4698187485,1000,96
4698188484,999,96
4698189485,1001,96
4698190485,1000,96
4698191485,1000,96
4698192485,1000,97
4698193485,1000,96
4698194485,1000,96
4698195485,1000,96
4698196485,1000,96
4698197485,1000,96
4698198485,1000,96
4698199485,1000,96
4698200485,1000,96
4698201484,999,96
4698202484,1000,96
4698203484,1000,96
4698204484,1000,96
4698205485,1001,96
4698206485,1000,96
4698207485,1000,96
4698208484,999,96
4698209485,1001,96
4698210485,1000,96
4698211485,1000,96
4698212485,1000,96
4698213485,1000,96
4698214485,1000,96
4698215485,1000,96
4698216485,1000,96
4698217485,1000,96
4698218485,1000,96
4698219485,1000,96
4698220485,1000,96
4698221484,999,96
4698222484,1000,96
4698223484,1000,96
4698224484,1000,96
4698225485,1001,96
4698226485,1000,96
4698227485,1000,96
4698228484,999,96
4698229485,1001,96
4698230485,1000,96
4698231485,1000,96
4698232485,1000,96
4698233485,1000,96
4698234485,1000,96
4698235485,1000,96
4698236485,1000,96
4698237485,1000,97
4698238485,1000,97
4698239485,1000,96
4698240485,1000,96
4698241484,999,96
4698242484,1000,96
4698243484,1000,96
4698244484,1000,96
4698245485,1001,96
4698246485,1000,96
4698247485,1000,96
4698248484,999,96
4698249485,1001,96
4698250485,1000,96
4698251485,1000,96
4698252484,999,96
4698253485,1001,96
4698254485,1000,96
4698255485,1000,96
4698256485,1000,96
4698257485,1000,96
4698258485,1000,96
4698259485,1000,96
4698260485,1000,96
4698261485,1000,96
4698262484,999,96
4698263484,1000,96
4698264485,1001,96
4698265485,1000,96
4698266485,1000,96
4698267485,1000,96
4698268484,999,96
4698269485,1001,96
4698270485,1000,96
4698271485,1000,96
4698272484,999,96
4698273485,1001,96
4698274485,1000,96
4698275485,1000,96
4698276485,1000,96
4698277485,1000,96
4698278485,1000,96
4698279485,1000,96
4698280485,1000,96
4698281485,1000,96
4698282484,999,96
4698283484,1000,96
4698284484,1000,96
4698285485,1001,96
4698286485,1000,96
4698287485,1000,96
4698288484,999,96
4698289485,1001,96
4698290485,1000,96
4698291485,1000,96
4698292484,999,96
4698293485,1001,96
4698294556,1071,97
4698295489,933,96
4698296486,997,96
4698297485,999,97
4698298485,1000,96
4698299485,1000,96
4698300485,1000,96
4698301485,1000,96
4698302484,999,96
4698303486,1002,96
4698304484,998,96
4698305485,1001,96
4698306485,1000,96
4698307485,1000,96
4698308485,1000,96
4698309485,1000,96
4698310485,1000,96
4698311485,1000,96
4698312484,999,96
4698313485,1001,97
4698314485,1000,96
4698315485,1000,96
4698316485,1000,96
4698317485,1000,96
4698318485,1000,96
4698319485,1000,96
4698320485,1000,96
4698321485,1000,96
4698322485,1000,96
4698323484,999,96
4698324484,1000,97
4698325485,1001,96
4698326485,1000,96
4698327485,1000,96
4698328484,999,96
4698329485,1001,96
4698330485,1000,96
4698331485,1000,96
4698332484,999,96
4698333485,1001,96
4698334485,1000,96
4698335485,1000,96
4698336485,1000,96
4698337485,1000,96
4698338485,1000,96
4698339485,1000,96
4698340485,1000,96
4698341485,1000,96
4698342485,1000,96
4698343484,999,96
4698344484,1000,96
4698345484,1000,96
4698346485,1001,96
4698347485,1000,96
4698348484,999,96
4698349485,1001,96
4698350485,1000,96
4698351485,1000,96
4698352484,999,96
4698353485,1001,96
4698354485,1000,96
4698355485,1000,96
4698356485,1000,96
4698357485,1000,96
4698358485,1000,96
4698359485,1000,96
4698360485,1000,96
4698361485,1000,96
4698362485,1000,96
4698363484,999,96
4698364484,1000,96
4698365484,1000,96
4698366485,1001,96
4698367485,1000,96
4698368484,999,96
4698369485,1001,96
4698370485,1000,96
4698371485,1000,96
4698372484,999,96
4698373485,1001,96
4698374485,1000,96
4698375485,1000,96
4698376485,1000,96
4698377485,1000,96
4698378485,1000,96
4698379485,1000,96
4698380485,1000,96
4698381485,1000,96
4698382485,1000,96
4698383485,1000,96
4698384485,1000,96
4698385484,999,96
4698386484,1000,96
4698387485,1001,96
4698388484,999,96
4698389485,1001,96
4698390563,1078,97
4698391489,926,96
4698392485,996,96
4698393485,1000,96
4698394485,1000,96
4698395485,1000,96
4698396485,1000,96
4698397485,1000,96
4698398485,1000,96
4698399485,1000,96
4698400485,1000,96
4698401485,1000,96
4698402485,1000,96
4698403485,1000,96
4698404484,999,96
4698405486,1002,96
4698406484,998,96
4698407485,1001,96
4698408484,999,96
4698409485,1001,96
4698410485,1000,96
4698411485,1000,96
4698412484,999,96
4698413485,1001,96
4698414485,1000,96
4698415485,1000,96
4698416485,1000,96
4698417485,1000,96
4698418485,1000,96
4698419485,1000,96
4698420485,1000,96
4698421485,1000,96
4698422485,1000,96
4698423485,1000,97
4698424485,1000,96
4698425484,999,96
4698426484,1000,97
4698427485,1001,96
4698428484,999,96
4698429485,1001,96
4698430485,1000,96
4698431485,1000,96
4698432486,1001,97
4698433485,999,97
4698434485,1000,96
4698435485,1000,96
4698436485,1000,96
4698437485,1000,96
4698438485,1000,96
4698439485,1000,96
4698440485,1000,96
4698441485,1000,96
4698442485,1000,96
4698443485,1000,96
4698444485,1000,97
4698445486,1001,96
4698446484,998,96
4698447485,1001,96
4698448484,999,96
4698449485,1001,96
4698450485,1000,96
4698451485,1000,96
4698452484,999,96
4698453485,1001,96
4698454485,1000,96
4698455485,1000,96
4698456485,1000,96
4698457485,1000,96
4698458485,1000,96
4698459485,1000,96
4698460485,1000,96
4698461485,1000,96
4698462485,1000,96
4698463485,1000,96
4698464485,1000,96
4698465484,999,96
4698466484,1000,96
4698467484,1000,96
4698468484,1000,96
4698469485,1001,96
4698470485,1000,96
4698471485,1000,96
4698472484,999,96
