time,elapsed_time,compute_time
3939601579,981,96
3939602577,998,96
3939603577,1000,96
3939604577,1000,97
3939605576,999,96
3939606576,1000,96
3939607576,1000,96
3939608576,1000,96
3939609576,1000,96
3939610576,1000,96
3939611576,1000,96
3939612576,1000,96
3939613576,1000,96
3939614575,999,96
3939615576,1001,96
3939616575,999,96
3939617576,1001,96
3939618576,1000,96
3939619576,1000,96
3939620576,1000,96
3939621576,1000,96
3939622576,1000,96
3939623576,1000,96
3939624576,1000,96
3939625576,1000,96
3939626576,1000,96
3939627576,1000,96
3939628576,1000,96
3939629576,1000,96
3939630576,1000,96
3939631576,1000,96
3939632576,1000,96
3939633576,1000,96
3939634576,1000,96
3939635575,999,96
3939636576,1001,96
3939637576,1000,96
3939638576,1000,96
3939639576,1000,96
3939640576,1000,96
3939641576,1000,96
3939642576,1000,96
3939643576,1000,96
3939644577,1001,96
3939645576,999,96
3939646576,1000,96
3939647576,1000,96
3939648576,1000,96
3939649576,1000,96
3939650576,1000,96
3939651576,1000,96
3939652576,1000,96
3939653576,1000,96
3939654576,1000,96
3939655575,999,96
3939656575,1000,96
3939657575,1000,96
3939658576,1001,96
3939659576,1000,96
3939660576,1000,96
3939661576,1000,96
3939662576,1000,96
3939663576,1000,96
3939664576,1000,96
3939665576,1000,96
3939666576,1000,96
3939667576,1000,96
3939668576,1000,96
3939669576,1000,96
3939670576,1000,96
3939671576,1000,96
3939672576,1000,96
3939673576,1000,96
3939674576,1000,96
3939675576,1000,96
3939676576,1000,96
3939677575,999,96
3939678575,1000,96
3939679576,1001,96
3939680576,1000,96
3939681576,1000,96
3939682576,1000,96
3939683576,1000,96
3939684576,1000,96
3939685576,1000,96
3939686576,1000,96
3939687576,1000,96
3939688576,1000,96
3939689576,1000,96
3939690576,1000,96
3939691576,1000,96
3939692576,1000,96
3939693576,1000,96
3939694576,1000,96
3939695576,1000,96
3939696575,999,96
3939697575,1000,96
3939698575,1000,96
3939699575,1000,96
3939700575,1000,96
3939701576,1001,96
3939702576,1000,96
3939703576,1000,96
3939704576,1000,96
3939705576,1000,96
3939706576,1000,96
3939707576,1000,96
3939708576,1000,96
3939709576,1000,96
3939710576,1000,96
3939711576,1000,96
3939712576,1000,96
3939713576,1000,96
3939714576,1000,96
3939715576,1000,96
3939716576,1000,96
3939717575,999,96
3939718575,1000,96
3939719575,1000,96
3939720576,1001,96
3939721576,1000,96
3939722576,1000,96
3939723576,1000,96
3939724576,1000,96
3939725576,1000,96
3939726576,1000,96
3939727576,1000,96
3939728576,1000,96
3939729576,1000,96
3939730576,1000,96
3939731576,1000,96
3939732576,1000,96
3939733576,1000,96
3939734576,1000,96
3939735576,1000,96
3939736576,1000,96
3939737574,998,96
3939738574,1000,96
3939739574,1000,96
3939740576,1002,97
3939741576,1000,96
3939742576,1000,96
3939743576,1000,96
3939744575,999,96
3939745576,1001,96
3939746576,1000,96
3939747576,1000,96
3939748576,1000,96
3939749576,1000,96
3939750576,1000,96
3939753638,3062,108
3939753862,224,97
3939754613,751,103
3939755601,988,100
3939756584,983,100
3939757576,992,96
3939758574,998,96
3939759575,1001,96
3939760574,999,96
3939761574,1000,96
3939762574,1000,96
3939763575,1001,96
3939764575,1000,96
3939765574,999,96
3939766574,1000,96
3939767574,1000,96
3939768576,1002,96
3939769574,998,96
3939770574,1000,96
3939771574,1000,96
3939772574,1000,96
3939773574,1000,96
3939774574,1000,96
3939775574,1000,96
3939776577,1003,96
3939777575,998,96
3939778576,1001,96
3939779576,1000,96
3939780575,999,96
3939781576,1001,96
3939782576,1000,96
3939783576,1000,96
3939784575,999,96
3939785576,1001,96
3939786576,1000,96
3939787576,1000,96
3939788575,999,96
3939789576,1001,96
3939790575,999,96
3939791576,1001,96
3939792576,1000,96
3939793576,1000,96
3939794576,1000,96
3939795576,1000,96
3939796574,998,96
3939797575,1001,96
3939798575,1000,96
3939799576,1001,96
3939800575,999,96
3939801576,1001,96
3939802575,999,96
3939803576,1001,96
3939804575,999,96
3939805576,1001,96
3939806575,999,96
3939807576,1001,96
3939808576,1000,96
3939809576,1000,96
3939810575,999,96
3939811576,1001,96
3939812575,999,96
3939813576,1001,96
3939814575,999,96
3939815576,1001,96
3939816575,999,96
3939817575,1000,96
3939818575,1000,96
3939819576,1001,96
3939820575,999,96
3939821576,1001,96
3939822576,1000,96
3939823576,1000,96
3939824575,999,96
3939825576,1001,96
3939826576,1000,96
3939827576,1000,96
3939828575,999,96
3939829576,1001,96
3939830575,999,96
3939831576,1001,96
3939832575,999,96
3939833575,1000,96
3939834576,1001,96
3939835576,1000,96
3939836576,1000,96
3939837575,999,96
3939838575,1000,96
3939839575,1000,96
3939840575,1000,96
3939841576,1001,96
3939842576,1000,96
3939843576,1000,96
3939844575,999,96
3939845576,1001,96
3939846583,1007,97
3939847578,995,97
3939848576,998,97
3939849576,1000,97
3939850576,1000,97
3939851576,1000,97
3939852575,999,97
3939853576,1001,97
3939854575,999,97
3939855576,1001,97
3939856576,1000,97
3939857575,999,97
