start,end
5971644992596,5971645819291
5971645869938,5971646745965
5971646863612,5971647282904
5971647834527,5971648157301
5971648812386,5971649075217
5971649861911,5971650337017
5971650866178,5971651962813
5971652036035,5971652465419
5971652837803,5971653177800
5971653827644,5971654169622
5971654826725,5971655166795
5971655819547,5971656206524
5971656829258,5971657175847
5971657825617,5971658164872
5971658830291,5971659273767
5971659832298,5971660218794
5971660827601,5971661170468
5971661822627,5971662138494
5971662829319,5971663150519
5971663820790,5971664188674
5971664828686,5971665145478
5971665814119,5971666080357
5971666818237,5971667078049
5971667807837,5971668097019
5971668814381,5971669173414
5971669817962,5971670112014
5971670833969,5971671171928
5971671820587,5971672197250
5971672834613,5971673189665
5971673829268,5971674163727
5971674838424,5971675181975
5971675826820,5971676213630
5971676830012,5971677163027
5971677831149,5971678157571
5971678825823,5971679222800
5971679823571,5971680224103
5971680870892,5971681326831
5971681858807,5971682280654
5971682859221,5971683279550
5971683854617,5971684362315
5971684860291,5971685310471
5971685852261,5971686283571
5971686850787,5971687289486
5971687853442,5971688349066
5971688868931,5971689439017
5971689864993,5971690326081
5971690885815,5971691396346
5971691868767,5971692442001
5971692888348,5971693422101
5971693876262,5971694385442
5971694881344,5971695364560
5971695866481,5971696409530
5971696875599,5971697352204
5971697863032,5971698366193
5971698866261,5971699460569
5971699888750,5971700470947
5971700828591,5971701161680
5971701822654,5971702117872
5971702817920,5971703107287
5971703817186,5971704189108
5971704834656,5971705167838
5971705821923,5971706129253
5971706830689,5971707128352
5971707821215,5971708159619
5971708823704,5971709187903
5971709861581,5971710536499
5971710871125,5971711260231
5971711858465,5971712585772
5971712895787,5971713453743
5971713871461,5971714413733
5971714882301,5971715378925
5971715863012,5971716518505
5971716886704,5971717430698
5971717883397,5971718363095
5971718873571,5971719602470
5971719924337,5971721006861
5971721062490,5971721751797
5971721907888,5971722505881
5971722889118,5971723417778
5971723903680,5971724568136
5971724903095,5971725571106
5971725947194,5971727496306
5971726969682,5971727635064
5971728123854,5971729215694
5971729129010,5971729965537
5971730105665,5971730747936
5971730897582,5971731472594
5971731860090,5971732238715
5971732837412,5971733139334
5971733822734,5971734124231
5971734818463,5971735094349
5971735813637,5971736127393
5971736828681,5971737152900
5971737823744,5971738092334
5971738821659,5971739082693
5971739809666,5971740180643
5971740827432,5971741124188
5971741957197,5971742661226
5971742937427,5971744103061
5971743914193,5971744705073
5971744897682,5971745523379
5971745932170,5971747791260
5971746940177,5971748169589
5971747962369,5971749114208
5971748921544,5971749671387
5971749934236,5971750586358
5971750911743,5971751505644
5971751858362,5971752257061
5971752832221,5971753137977
5971753819581,5971754103596
5971754823699,5971755114121
5971755812910,5971756132147
